step 0 x 0.7557628633 y 2.1064439007 f(x,y) -0.5500053277 -5.500053e-01
step 1 x 0.9274816001 y 2.1064439007 f(x,y) -0.5563506576 -5.563507e-01
step 2 x 0.8108463557 y 2.1064439007 f(x,y) -0.5585800389 -5.585800e-01
step 3 x 0.8937701659 y 2.1064439007 f(x,y) -0.5599272306 -5.599272e-01
step 4 x 0.8362376224 y 2.1064439007 f(x,y) -0.5604963977 -5.604964e-01
step 5 x 0.8769633597 y 2.1064439007 f(x,y) -0.5608081235 -5.608081e-01
step 6 x 0.8484919466 y 2.1064439007 f(x,y) -0.5609510638 -5.609511e-01
step 7 x 0.8685862209 y 2.1064439007 f(x,y) -0.5610254813 -5.610255e-01
step 8 x 0.8544932212 y 2.1064439007 f(x,y) -0.5610609549 -5.610610e-01
step 9 x 0.8644228835 y 2.1064439007 f(x,y) -0.5610789554 -5.610790e-01
step 10 x 0.8574486066 y 2.1064439007 f(x,y) -0.5610876990 -5.610877e-01
step 11 x 0.8623581852 y 2.1064439007 f(x,y) -0.5610920791 -5.610921e-01
step 12 x 0.8589074667 y 2.1064439007 f(x,y) -0.5610942265 -5.610942e-01
step 13 x 0.8613355169 y 2.1064439007 f(x,y) -0.5610952954 -5.610953e-01
step 14 x 0.8596283790 y 2.1064439007 f(x,y) -0.5610958217 -5.610958e-01
step 15 x 0.8608293095 y 2.1064439007 f(x,y) -0.5610960829 -5.610961e-01
step 16 x 0.8599848087 y 2.1064439007 f(x,y) -0.5610962119 -5.610962e-01
step 17 x 0.8605788273 y 2.1064439007 f(x,y) -0.5610962757 -5.610963e-01
step 18 x 0.8601610764 y 2.1064439007 f(x,y) -0.5610963073 -5.610963e-01
step 19 x 0.8604549043 y 2.1064439007 f(x,y) -0.5610963229 -5.610963e-01
step 20 x 0.8602482580 y 2.1064439007 f(x,y) -0.5610963306 -5.610963e-01
step 21 x 0.8603935999 y 2.1064439007 f(x,y) -0.5610963345 -5.610963e-01
step 22 x 0.8602913804 y 2.1064439007 f(x,y) -0.5610963363 -5.610963e-01
step 23 x 0.8603632742 y 2.1064439007 f(x,y) -0.5610963373 -5.610963e-01
step 24 x 0.8603127105 y 2.1064439007 f(x,y) -0.5610963377 -5.610963e-01
step 25 x 0.8603482730 y 2.1064439007 f(x,y) -0.5610963380 -5.610963e-01
step 26 x 0.8603232614 y 2.1064439007 f(x,y) -0.5610963381 -5.610963e-01
step 27 x 0.8603408526 y 2.1064439007 f(x,y) -0.5610963381 -5.610963e-01
step 28 x 0.8603284804 y 2.1064439007 f(x,y) -0.5610963382 -5.610963e-01
step 29 x 0.8603371820 y 2.1064439007 f(x,y) -0.5610963382 -5.610963e-01
step 30 x 0.8603310620 y 2.1064439007 f(x,y) -0.5610963382 -5.610963e-01
step 31 x 0.8603353663 y 2.1064439007 f(x,y) -0.5610963382 -5.610963e-01
step 32 x 0.8603323390 y 2.1064439007 f(x,y) -0.5610963382 -5.610963e-01
step 33 x 0.8603344682 y 2.1064439007 f(x,y) -0.5610963382 -5.610963e-01
step 34 x 0.8603329707 y 2.1064439007 f(x,y) -0.5610963382 -5.610963e-01
step 35 x 0.8603340239 y 2.1064439007 f(x,y) -0.5610963382 -5.610963e-01
step 36 x 0.8603332832 y 2.1064439007 f(x,y) -0.5610963382 -5.610963e-01
step 37 x 0.8603338041 y 2.1064439007 f(x,y) -0.5610963382 -5.610963e-01
step 38 x 0.8603334377 y 2.1064439007 f(x,y) -0.5610963382 -5.610963e-01
step 39 x 0.8603336954 y 2.1064439007 f(x,y) -0.5610963382 -5.610963e-01
step 40 x 0.8603335142 y 2.1064439007 f(x,y) -0.5610963382 -5.610963e-01
step 41 x 0.8603336417 y 2.1064439007 f(x,y) -0.5610963382 -5.610963e-01
