EVA a ka sa ta na ha ma ya ra wa
0 0.85779 0.74847 0.84393 0.8428 0.90032 0.83782 0.81538 0.73714 0.86983 0.91553
1 0.92385 0.85929 0.67104 0.86887 0.85872 0.90132 0.85519 0.70768 0.71126 0.84307
2 0.62148 0.67516 0.70763 0.33546 0.39291 0.3618 0.80559 0.60498 0.69168 0.66813
3 0.42372 0.5036 0.44276 0.62568 0.59798 0.49826 0.41591 0.20881 0.62336 0.81734
4 0.73163 0.54616 0.7126 0.71483 0.73305 0.85691 0.77737 0.79729 0.8387 0.70894
5 0.51548 0.54893 0.29668 0.66209 0.66855 0.54937 0.41022 0.36921 0.7267 0.4929
6 0.57886 0.47627 0.37795 0.61369 0.50321 0.47742 0.26716 0.4309 0.79632 0.60649
7 0.26008 0.15677 0.21117 0.10998 0.13233 0.17615 0.30159 0.33662 0.27424 0.15886
8 0.84568 0.68016 0.67665 0.82928 0.82017 0.90007 0.73948 0.67622 0.85101 0.93546
9 0.18757 0.16682 0.19468 0.15941 0.10933 0.12265 0.211 0.19808 0.14621 0.22951
